reward_mode,gamma,row,column,has_key,value,best_action,is_terminal
sparse,0.5,16,7,0,-0.18281445517277634,up,False
sparse,0.5,16,7,1,-0.10728879340753805,up,False
sparse,0.5,16,8,0,-0.1921103650938434,up,False
sparse,0.5,16,8,1,0.02369392192069259,up,False
sparse,0.5,16,9,0,-0.1964843483477434,up,False
sparse,0.5,16,9,1,0.4086551490977339,right,False
sparse,0.5,16,10,0,-0.19850762073491565,up,False
sparse,0.5,16,10,1,1.3306270254377304,right,False
sparse,0.5,16,11,0,-0.19939942734752947,up,False
sparse,0.5,16,11,1,3.328655123169883,right,False
sparse,0.5,16,12,0,-0.2002727188008183,up,False
sparse,0.5,16,12,1,7.62018909780762,right,False
sparse,0.5,16,13,0,-0.21036331587303897,up,False
sparse,0.5,16,13,1,16.74290092410428,right,False
sparse,0.5,16,14,0,-0.40460593169372916,left,False
sparse,0.5,16,14,1,35.86674388512659,up,False
sparse,0.5,16,16,0,-1.9999999403953554,up,False
sparse,0.5,16,16,1,-1.9999999403953554,up,False
sparse,0.9,1,1,0,2.9404710676109396,down,False
sparse,0.9,1,1,1,3.5406370338057886,right,False
sparse,0.9,1,2,0,2.6777660742320077,down,False
sparse,0.9,1,2,1,4.220766611125281,right,False
sparse,0.9,1,3,0,2.2407993702466484,down,False
sparse,0.9,1,3,1,4.984420985876596,right,False
sparse,0.9,1,4,0,2.0706431683177953,down,False
sparse,0.9,1,4,1,5.84022167269181,down,False
sparse,0.9,1,5,0,2.403991624581341,down,False
sparse,0.9,1,5,1,6.783379933460943,down,False
sparse,0.9,1,6,0,2.8591449979026713,down,False
sparse,0.9,1,6,1,7.843276953865532,down,False
sparse,0.9,1,7,0,3.350859572318287,down,False
sparse,0.9,1,7,1,8.971748036020665,down,False
sparse,0.9,1,8,0,3.7037651652151284,down,False
sparse,0.9,1,8,1,9.784765907553084,down,False
sparse,0.9,1,9,0,3.3506561792720273,down,False
sparse,0.9,1,9,1,9.154467973533691,down,False
sparse,0.9,1,10,0,2.857896094878667,down,False
sparse,0.9,1,10,1,8.67492347388922,down,False
sparse,0.9,1,11,0,2.395863830981376,down,False
sparse,0.9,1,11,1,9.368450653960547,down,False
sparse,0.9,1,12,0,1.9831207901752474,down,False
sparse,0.9,1,12,1,10.076391704981958,down,False
sparse,0.9,1,13,0,1.584358145395591,down,False
sparse,0.9,1,13,1,10.231763157410272,down,False
sparse,0.9,1,14,0,1.2360414436091498,down,False
